name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Cuisine,Top Dishes,Price for 2,Dining Rating,Dining Rating Count,Delivery Rating,Delivery Rating Count,Features
Covai ANGANAN Biriyani House,"no.4, VCV Layout, R.S. Puram, Coimbatore, Tamil Nadu 641002, India",+91 99942 34517,coimbatore@covaiangananbiriyani.com,11.0080676,76.9578987,http://www.covaiangananbiriyani.com/,India,Tamil Nadu,Coimbatore,4.1,966,641002,Restaurants,Restaurants,['Biryani'],"['Bread Halwa', ' Chicken 65', ' Mutton Biryani', ' Chicken Biryani', ' Brinjal Gravy', ' Basmati Rice', ' Raita']",500,4.3,1500,4.3,9306,"['Home Delivery', 'Indoor Seating']"
Kadarkarai Family Restaurant,"9B,kora thootam, Kalapatti Main Rd, Kurumbapalayam SSKulam, Tamil Nadu 641017, India",+91 94877 26030,enquiry@kadarkaraii.com,11.1056118,77.0300306,https://www.kadarkaraii.com/,India,Tamil Nadu,Coimbatore,4,855,641017,Restaurants,Restaurants,"['Biryani', ' North Indian', ' Mughlai', ' Desserts', ' Beverages']","['Beef Biryani', ' Beef Fry', ' Paratha', ' Paya', ' Brinjal Curry', ' Chicken 65', ' Chicken Biryani']",1000,4.4,3059,4.1,39200,"['Home Delivery', 'Free Parking', 'Table booking recommended', 'Indoor Seating']"
Bow Bow Bliss- A Pet-Themed Restaurant and Cafe,"121A,Kattur street, Kalapatti-Kurumbapalayam Rd, Coimbatore, Tamil Nadu 641048, India",+91 85998 69964,bowbowbliss@gmail.com,11.087329,77.0333812,http://www.bowbowbliss.in/,India,Tamil Nadu,Coimbatore,4.2,1022,641048,Restaurants,Restaurants,"['Biryani', ' North Indian', ' Chinese', ' Arabian']","['Brinjal Curry', ' Tandoori Chicken', ' Chicken Grill', ' Brinjal Gravy', ' Hyderabadi Biryani', ' Mutton Biryani', ' Chicken 65']",500,4.3,1361,4.4,10500,"['Home Delivery', 'Indoor Seating']"
Shanthi Social Service canteen - Singanallur,"223Q+8MW, Neelikonampalayam, Tamil Nadu 641005, India",+91 84899 33163,petrolbunk@shanthisocialservices.org,11.0033585,77.0391895,http://www.shanthisocialservices.org/,India,Tamil Nadu,Coimbatore,4.8,6375,641005,Restaurants,Restaurants,"['Burger', ' Fast Food', ' Finger Food', ' Beverages']",['Zinger Burger'],500,4,1101,4,11200,"['Home Delivery', 'Free Parking', 'Card Upon Delivery', 'Indoor Seating', 'Wifi']"
Fivestar Garden,"No.2, 19A, Thadagam Main Rd, Thiruvalluvar Nagar, Somayanur, Nanjundapuram, Tamil Nadu 641108, India",+91 93810 01234,admin@fivestarco.in,11.0687856,76.8880299,http://www.fivestarco.in/,India,Tamil Nadu,Coimbatore,3.8,1040,641108,Restaurants,Restaurants,"['Chinese', ' Biryani', ' North Indian', ' Chettinad', ' Arabian']","['Mutton Biryani', ' Chicken Rice', ' Tomato Rice', ' Shawarma', ' Egg Fried Rice']",450,4.2,617,4.1,22400,"['Home Delivery', 'Indoor Seating']"
La Cabana Rooftop Bar and Grill,"No 412, Dr Nanjappa Rd, Ram Nagar, Coimbatore, Tamil Nadu 641018, India",+91 422 223 2140,info@parkelanza.com,11.0093588,76.9668529,http://coimbatore.parkelanza.com/,India,Tamil Nadu,Coimbatore,4.3,1244,641018,Restaurants,Restaurants,"['South Indian', ' North Indian', ' Chinese']","['Chicken Grill', ' Shawarma', ' Naan', ' Chicken Butter Masala', ' Chilli Chicken', ' Fried Rice Chicken']",450,4.1,567,3.8,24700,"['Home Delivery', 'Indoor Seating']"
"Sree Annapoorna- Sundarapuram, Coimbatore","149, 150 & 151, Pollachi Main Rd, Sundarapuram, Coimbatore, Kurichi, Tamil Nadu 641024, India",+91 422 452 2444,office@sreeannapoorna.com,10.9566063,76.9725663,http://www.sreeannapoorna.com/,India,Tamil Nadu,Coimbatore,4.1,2812,641024,Restaurants,Restaurants,['Biryani'],"['Bread Halwa', ' Mutton Biryani', ' Brinjal Gravy', ' Raita', ' Brinjal Curry']",350,4.7,1234,4.3,1061,['Home Delivery']
CafǸ Coffee Day,"No. 14, Bus Stop, Race Course Rd, near Thomas Park, Thomas Park, Coimbatore, Tamil Nadu 641018, India",+91 1800 102 5093,customercare@cafecoffeeday.com,11.0022966,76.9823836,https://puliakulam.cafecoffeeday.com/,India,Tamil Nadu,Coimbatore,4.1,2394,641018,Restaurants,"Sandwich shops,Restaurants,Coffee shops,Takeout restaurants,Cafes,Pastry shops","['Cafe', ' Fast Food']","['Burgers', ' Pasta', ' Sandwich', ' Strawberry Mojito', ' Baklava', ' Cappuccino', ' Chocolate Cake']",800,4.3,668,4.3,4320,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Desserts and Bakes']"
Cafe Udupi Ruchi Mathampalayam,"Nagapattinam - Coimbatore - Gundlupet Hwy, Shanthi Medu, Bilichi, Tamil Nadu 641019, India",+91 70949 40303,support@srifamily.in,11.1925178,76.9604096,http://www.cafeudupiruchi.com/,India,Tamil Nadu,Coimbatore,4,2875,641019,Restaurants,Restaurants,"['Arabian', ' Chinese', ' North Indian', ' Lebanese', ' Salad']","['Shawarma', ' Chicken Grill', ' Brownie', ' Sea Food', ' Bbq Chicken', ' Biryani', ' Fish']",1400,4.2,2564,4.1,21700,"['Home Delivery', 'Indoor Seating', 'Card Upon Delivery', 'Buffet', 'Table booking recommended']"
A2A Restaurant,"71/81, Thiruvalluvar Nagar Mettupalayam Main Road Veerapandi, Post, Press Colony, Coimbatore, Tamil Nadu 641019, India",+91 98423 64236,info@a2arestaurant.com,11.1752552,76.9545231,https://www.a2arestaurant.com/,India,Tamil Nadu,Coimbatore,4.5,1831,641019,Restaurants,"Cafes,Restaurants","['South Indian', ' North Indian', ' Chinese', ' Chettinad', ' Desserts', ' Beverages']","['Filtered Coffee', ' Chaat', ' Faluda', ' Masala Dosa', ' Pongal', ' Mini Idlis', ' Paneer Tikka']",800,4.4,1578,4.2,39600,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Serves Jain Food', 'Table reservation required']"
